NUTS_ID,geometry,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
DE1,"POLYGON ((4295703.5768 2964380.6987999994, 4316898.3145 2934408.6850000005, 4327060.3654 2936754.229800001, 4329577.591700001 2928930.2481999993, 4329131.1821 2919115.5341999996, 4339770.546700001 2882960.035700001, 4351011.508300001 2873887.5337000005, 4352170.807 2847997.2820999995, 4356881.909700001 2842708.7718, 4341564.5315000005 2822557.7907999996, 4338058.1513 2821924.2716000006, 4330907.914799999 2815721.9868, 4323419.196599999 2815971.9656000007, 4320822.4813 2804069.5506999996, 4328096.9592 2783389.916200001, 4331166.8938 2777220.4014, 4329587.0890999995 2762525.6604999993, 4328784.542300001 2762313.4350000005, 4329233.4891 2758179.1466000006, 4330885.178099999 2745173.2894, 4326811.799799999 2725076.1328999996, 4297839.2886 2721915.5976, 4287756.7698 2714352.1854, 4283009.073799999 2715444.941299999, 4259528.3868 2727259.0359000005, 4221123.476 2731035.9192999993, 4220591.664899999 2731159.9717999995, 4217105.1602 2744025.8792000003, 4209278.492900001 2741411.866699999, 4209312.1808 2724853.3637000006, 4202525.681600001 2718363.0526, 4162515.182499999 2721450.2731999997, 4148792.7694000006 2716636.1911999993, 4142867.4965000004 2719235.8000000007, 4139577.4244 2722539.9049999993, 4136889.5688000005 2739716.5875000004, 4140149.0461 2758618.4416000005, 4140555.6732 2780969.7829, 4140622.8365 2781605.5660999995, 4148737.4970999993 2796455.1335000005, 4170832.9875000007 2847105.0318, 4191568.4299 2874149.0747999996, 4193703.1273 2875693.6634, 4194902.055500001 2876668.8454, 4199706.8018 2886591.1183, 4205446.5603 2905334.1197999995, 4209447.0976 2908937.1611, 4210938.595899999 2909690.4781, 4209211.3783 2912146.7809999995, 4211940.493899999 2923163.1141999997, 4210213.2182 2926776.3453, 4206858.979800001 2937781.563100001, 4206908.4438000005 2941381.1796000004, 4206911.1763 2942403.6646, 4218269.2193 2935097.5820000004, 4243570.766799999 2929204.115700001, 4254631.4986000005 2935221.401900001, 4256117.792099999 2940915.8095999993, 4278464.989399999 2950259.6339999996, 4282930.608899999 2963150.3518000003, 4295703.5768 2964380.6987999994))",21596.9,20923.5,21214.4,18894.2,22268.7,17492.1,16516.8,21910.5,23116.7,23717.5,28734.77,30276.8,30903.73,30506.43,33558.62,24111.55,24181.43,26864.969999999998,24506.94,26175.02,24823.1,24926.67,23910.21,1004.0,48.0
DE2,"POLYGON ((4353033.0975 3032305.0207, 4364538.604800001 3013049.3050999995, 4373034.312899999 3013350.507200001, 4388261.3780000005 3030928.3318000007, 4405835.591399999 3018360.4021000005, 4410856.785800001 3041609.9941000007, 4426266.5825 3036581.0529999994, 4434992.7326 3033109.2880000006, 4457382.0583999995 3036536.161800001, 4470617.443499999 3025026.0146999992, 4475191.6471 3014233.6904000007, 4482881.8697 2996472.522500001, 4504235.755100001 2980138.6501, 4494030.7502999995 2963467.4614000004, 4508712.424799999 2939910.5363999996, 4511863.501 2932678.570699999, 4552189.4165 2900592.4167, 4571071.8972 2879894.6663000006, 4581003.231000001 2879001.467, 4603174.0754 2858273.119000001, 4600312.774800001 2851666.636, 4596341.521500001 2829133.7541000005, 4579900.4079 2836889.7173999995, 4579671.3643 2836835.5207, 4579445.3671 2836171.4388999995, 4579714.7586 2835384.8275000006, 4579577.8562 2834988.9930000007, 4578831.8160999995 2834529.6916000005, 4578694.752699999 2834033.946799999, 4578256.6741 2833743.7687999997, 4577590.199999999 2833819.306399999, 4577520.554300001 2832996.6304, 4576657.3144000005 2832784.0842000004, 4576129.709899999 2833244.352, 4556759.177300001 2802949.1988999993, 4539906.565199999 2792493.4747, 4525936.166999999 2781511.587099999, 4534508.8895 2768916.1735999994, 4535816.2831 2765181.807, 4542424.854499999 2755742.9772999994, 4550492.988700001 2716598.8374000005, 4523482.837200001 2733534.5822, 4514603.5298 2727668.8101000004, 4496572.345000001 2734271.410700001, 4475984.664100001 2724949.8110000007, 4460729.270300001 2722685.2793000005, 4443880.2947 2721225.526799999, 4427326.055500001 2710091.6841, 4428275.4441 2704501.090399999, 4397789.8456999995 2698611.856899999, 4395879.224099999 2698559.6253999993, 4387765.814200001 2714092.2085999995, 4355225.3652 2715902.9925999995, 4352656.717800001 2697259.9672999997, 4334506.5766 2684074.9562, 4320964.2509 2707711.6807000004, 4318575.4584 2714736.6659999993, 4287756.7698 2714352.1854, 4297839.2886 2721915.5976, 4326811.799799999 2725076.1328999996, 4330885.178099999 2745173.2894, 4329233.4891 2758179.1466000006, 4328784.542300001 2762313.4350000005, 4329587.0890999995 2762525.6604999993, 4331166.8938 2777220.4014, 4328096.9592 2783389.916200001, 4320822.4813 2804069.5506999996, 4323419.196599999 2815971.9656000007, 4330907.914799999 2815721.9868, 4338058.1513 2821924.2716000006, 4341564.5315000005 2822557.7907999996, 4356881.909700001 2842708.7718, 4352170.807 2847997.2820999995, 4351011.508300001 2873887.5337000005, 4339770.546700001 2882960.035700001, 4329131.1821 2919115.5341999996, 4329577.591700001 2928930.2481999993, 4327060.3654 2936754.229800001, 4316898.3145 2934408.6850000005, 4295703.5768 2964380.6987999994, 4282930.608899999 2963150.3518000003, 4278464.989399999 2950259.6339999996, 4256117.792099999 2940915.8095999993, 4251664.162699999 2970894.7630000003, 4252699.2227 2973084.6976999994, 4250439.3345 2987020.4233999997, 4248723.2381 2995472.5079999994, 4268152.2195 3003454.7145000007, 4278413.751499999 2997440.8773, 4294107.9322 3013053.5261000004, 4301991.620999999 3027156.9367999993, 4316426.716 3034182.5712, 4323932.0865 3044955.5941000003, 4353033.0975 3032305.0207))",57090.9,54591.1,55868.6,49016.6,61455.1,40440.1,54550.6,58919.5,59994.0,61625.1,73382.64,81592.6,83735.41,75865.31,91054.73,62592.46,67804.2,71738.66,63602.34,67024.17,69452.94,68871.24,61780.670000000006,1004.0,48.0
DE3,"POLYGON ((4565854.8829 3276635.620100001, 4570053.7798999995 3269037.6789999995, 4572823.348999999 3258448.2174999993, 4553875.3859 3257338.2413, 4546340.8794 3259545.0768999998, 4536436.5251 3258557.022, 4535085.864700001 3270478.4750999995, 4535330.4365 3281303.397399999, 4550928.4684 3287499.4212999996, 4565854.8829 3276635.620100001))",1074.8,1074.5,1074.5,1074.6,1074.6,1076.0,1076.0,1075.9,1075.9,1075.9,1076.6200000000001,1078.1,1078.2,1077.1,1077.1,1011.4,1010.1,1010.1,1010.1,1010.1,1010.4,1010.4,1010.4,1004.0,48.0
DE4,"POLYGON ((4614776.206 3366892.3253000006, 4599281.9924 3324914.319700001, 4600578.1602 3317654.933700001, 4620842.0239 3294804.2860000003, 4629911.4213 3289187.701199999, 4629435.833000001 3263563.6764, 4634821.9384 3250189.340500001, 4646802.7424 3228426.8564999998, 4644664.8412999995 3220609.5798000004, 4648590.561000001 3174085.7885, 4629350.4406 3168446.2354000006, 4609662.673699999 3167168.9530999996, 4587902.7784 3147669.7345000003, 4577902.957699999 3146844.5265999995, 4544296.3726 3148677.8440000005, 4532107.862500001 3175212.723200001, 4537996.311899999 3199068.1853, 4511257.8675999995 3211308.9679000005, 4483990.0326000005 3217677.5808000006, 4476969.282299999 3224010.7676999997, 4478495.880899999 3263035.0746, 4468427.135500001 3268540.7090000007, 4472708.3358 3300460.1272, 4464133.2762 3311150.4800000004, 4445937.5496 3312754.6325000003, 4428178.2282 3326451.125, 4405738.943299999 3335586.670499999, 4475923.0085 3359511.4246999994, 4476377.8166000005 3359159.6324000005, 4520568.2213 3343736.928099999, 4537382.718 3351968.6477000006, 4567220.576199999 3380884.9652999993, 4614776.206 3366892.3253000006), (4535085.864700001 3270478.4750999995, 4536436.5251 3258557.022, 4546340.8794 3259545.0768999998, 4553875.3859 3257338.2413, 4572823.348999999 3258448.2174999993, 4570053.7798999995 3269037.6789999995, 4565854.8829 3276635.620100001, 4550928.4684 3287499.4212999996, 4535330.4365 3281303.397399999, 4535085.864700001 3270478.4750999995))",16166.7,18764.1,17131.4,13377.0,19493.9,14780.6,15892.7,17611.8,18485.899999999998,20136.4,24591.53,24358.6,27158.1,28163.03,31431.75,22894.79,22939.04,24385.87,18603.15,20975.5,22505.93,23534.39,20181.87,1004.0,48.0
DE5,"MULTIPOLYGON (((4252997.6863 3335779.2486000005, 4248229.0702 3323043.884400001, 4234577.763900001 3327007.404100001, 4230920.7842 3334223.1306999996, 4219844.079399999 3347603.877699999, 4252997.6863 3335779.2486000005)), ((4220906.2059 3374886.1543000005, 4225157.210200001 3380666.8516000006, 4223056.660599999 3389733.5266999993, 4229260.247300001 3382599.7881000005, 4220906.2059 3374886.1543000005)))",1089.7,1089.2,1089.2,1090.2,1090.2,1089.2,1089.2,1089.1,1089.1,1089.1,1090.81,1091.9,1092.0,1093.1,1093.1,1027.1,1023.9,1023.9,1023.9,1023.9,1022.7,1022.7,1022.7,1004.0,48.0
DE6,"MULTIPOLYGON (((4341469.7293 3369525.0382000003, 4314597.9516 3369359.6154999994, 4305662.0089 3377527.073999999, 4303112.0996 3383356.2509000003, 4317387.771299999 3393934.8505000006, 4326001.2456 3400557.9850999992, 4336708.861400001 3376535.1194, 4341469.7293 3369525.0382000003)), ((4236123.1843 3426692.145199999, 4220740.653899999 3412520.1379000004, 4210702.8399 3415764.6764, 4221198.286699999 3439472.8971999995, 4236123.1843 3426692.145199999)))",1106.0,1106.4,1106.4,1106.3,1092.6,1090.1,1105.5,1106.0,1106.0,1106.0,1118.83,1118.0,1118.6,1119.9,1119.9,1051.8,1051.5,1051.4,1051.4,1051.4,1048.9,1048.9,1048.9,1004.0,48.0
DE7,"POLYGON ((4299188.570499999 3163540.6723999996, 4298462.0502 3133630.8358999994, 4316010.240800001 3140497.266899999, 4335467.350400001 3119972.4294000007, 4335696.8663 3114792.5781999994, 4322513.615499999 3097958.4123, 4315791.7147 3072868.8969, 4326486.758400001 3058434.242799999, 4323932.0865 3044955.5941000003, 4316426.716 3034182.5712, 4301991.620999999 3027156.9367999993, 4294107.9322 3013053.5261000004, 4278413.751499999 2997440.8773, 4268152.2195 3003454.7145000007, 4248723.2381 2995472.5079999994, 4250439.3345 2987020.4233999997, 4252699.2227 2973084.6976999994, 4251664.162699999 2970894.7630000003, 4256117.792099999 2940915.8095999993, 4254631.4986000005 2935221.401900001, 4243570.766799999 2929204.115700001, 4218269.2193 2935097.5820000004, 4206911.1763 2942403.6646, 4206384.4662999995 2943712.678099999, 4208936.184800001 2958700.2425999995, 4209058.5528 2958914.4233999997, 4209167.978599999 2959144.514799999, 4205818.420700001 2966931.2860000003, 4202052.8475 2982236.3563, 4198260.7392 2988400.6974, 4191329.383300001 2993035.2079000007, 4190259.1007000003 2992945.9571, 4171106.0220999997 2987851.4814999998, 4161636.7204 2997328.3943000007, 4187131.1447 3020058.2782000005, 4176810.116800001 3034687.0622000005, 4190141.560900001 3055827.5045, 4188558.5787000004 3065486.9448000006, 4205225.5647 3084691.8396000005, 4214087.1405 3096411.5272000004, 4219378.6282 3111083.3653999995, 4249534.9833 3155625.955600001, 4262279.1588 3148330.3308000006, 4282273.5788 3171249.814200001, 4299188.570499999 3163540.6723999996))",12660.8,12749.2,12040.7,11705.4,13436.0,10442.1,12672.1,12429.0,13470.8,13686.3,17710.29,17877.7,17293.13,18459.63,19558.45,13937.5,14000.13,14936.98,12771.34,14682.53,13684.28,14164.87,13410.83,1004.0,48.0
DE8,"POLYGON ((4602721.2754999995 3407226.048800001, 4614776.206 3366892.3253000006, 4567220.576199999 3380884.9652999993, 4537382.718 3351968.6477000006, 4520568.2213 3343736.928099999, 4476377.8166000005 3359159.6324000005, 4475923.0085 3359511.4246999994, 4405738.943299999 3335586.670499999, 4399392.257999999 3339338.4222, 4390919.144099999 3350157.4901, 4360616.3913 3361935.1107, 4383955.1503 3393756.4636000004, 4371265.0853 3411806.030099999, 4380328.672700001 3428122.1577000003, 4423356.629799999 3436786.9388999995, 4451511.6183 3453830.8413999993, 4464496.873 3461970.9582, 4469893.0550999995 3465507.3104999997, 4531387.9187 3500546.8101000004, 4551177.835899999 3486755.055299999, 4537621.657299999 3459061.6147000007, 4598483.263599999 3432717.9909000006, 4598024.352 3425758.6513, 4591126.8651 3414092.931500001, 4602721.2754999995 3407226.048800001))",23259.2,24954.6,22680.899999999998,21593.5,25541.1,20701.5,23482.1,23234.8,25570.1,26657.199999999997,33776.75,34250.6,37191.63,37949.01,41797.18,30933.62,27372.129999999997,29534.04,23843.67,29326.32,30506.82,30153.47,28714.600000000002,1004.0,48.0
DE9,"POLYGON ((4256375.465500001 3414615.2423, 4273209.700099999 3418043.1238, 4287046.539899999 3400145.1939000003, 4303112.0996 3383356.2509000003, 4305662.0089 3377527.073999999, 4314597.9516 3369359.6154999994, 4341469.7293 3369525.0382000003, 4352221.028100001 3364312.532400001, 4360616.3913 3361935.1107, 4390919.144099999 3350157.4901, 4399392.257999999 3339338.4222, 4405738.943299999 3335586.670499999, 4428178.2282 3326451.125, 4422177.787900001 3315760.3845000006, 4377693.4977 3305156.0545000006, 4372219.352700001 3298822.0715999994, 4389510.3927 3265748.5569, 4384504.692500001 3262904.8532, 4387148.2928 3216740.2146000005, 4375984.5593 3215642.853, 4359540.0276 3210600.778000001, 4369550.9746 3170421.583799999, 4367887.4537 3169981.7795, 4354869.3541 3162801.6997999996, 4316010.240800001 3140497.266899999, 4298462.0502 3133630.8358999994, 4299188.570499999 3163540.6723999996, 4282273.5788 3171249.814200001, 4280669.340500001 3170914.7212000005, 4274379.5054 3194089.4772999994, 4273455.3356 3201626.5788000003, 4263136.4603 3221220.6196999997, 4251653.709899999 3232135.4992999993, 4261477.954700001 3256200.4047, 4232925.6339 3266469.257200001, 4205259.567600001 3262148.9739999995, 4216298.169 3240879.888699999, 4212132.138699999 3223996.0774000008, 4190451.3589999992 3218063.4341, 4176049.9254 3221372.3960999995, 4175414.502699999 3246352.7716000006, 4158496.5954 3265415.138699999, 4137969.0372 3244557.344900001, 4122915.3214 3240990.451300001, 4120624.0736 3240894.579399999, 4117146.8552 3258660.1053, 4096766.4867000002 3269198.322899999, 4098287.6952 3284897.710999999, 4118393.6692999993 3285247.0691, 4125134.6445000004 3307187.4432999995, 4133736.155200001 3337487.729699999, 4134707.5439999998 3351905.1378000006, 4138750.3600999992 3360935.3455999997, 4127540.2368 3366604.9955, 4155275.4101 3399818.1371999998, 4176382.6543000005 3402209.9497999996, 4194751.966399999 3393946.6743, 4197878.8917 3384615.9682, 4192372.5107000005 3379297.522500001, 4201005.0361 3368299.9952000007, 4225157.210200001 3380666.8516000006, 4220906.2059 3374886.1543000005, 4229260.247300001 3382599.7881000005, 4223056.660599999 3389733.5266999993, 4229550.3774 3407325.4558000006, 4234678.0746 3421310.459899999, 4247889.5098 3417219.763699999, 4256375.465500001 3414615.2423), (4234577.763900001 3327007.404100001, 4248229.0702 3323043.884400001, 4252997.6863 3335779.2486000005, 4219844.079399999 3347603.877699999, 4230920.7842 3334223.1306999996, 4234577.763900001 3327007.404100001))",52693.8,54229.1,49704.6,48816.9,55870.799999999996,41599.4,51529.3,55217.8,61679.3,61815.799999999996,79246.34,88636.9,90639.34,84545.44,96416.31,72435.23,69716.65,71566.44,58751.52,64468.31,69043.66,70604.51000000001,64254.25,1004.0,48.0
DEA,"POLYGON ((4263136.4603 3221220.6196999997, 4273455.3356 3201626.5788000003, 4274379.5054 3194089.4772999994, 4280669.340500001 3170914.7212000005, 4282273.5788 3171249.814200001, 4262279.1588 3148330.3308000006, 4249534.9833 3155625.955600001, 4219378.6282 3111083.3653999995, 4214087.1405 3096411.5272000004, 4205225.5647 3084691.8396000005, 4188558.5787000004 3065486.9448000006, 4182511.1171000004 3066931.9251000006, 4169961.1691999994 3092709.6643000003, 4165398.3935000002 3094413.0482, 4156201.991800001 3081392.8111000005, 4140271.5187 3069801.261499999, 4123782.9295000006 3060603.5248000007, 4103368.4568000007 3054207.5143999998, 4093417.544500001 3032716.157400001, 4066527.1193000004 3029642.1941, 4065087.3355 3029745.6953, 4059686.3597 3049366.0593999997, 4040360.1849000007 3079039.3890000004, 4045944.8244000003 3096437.1327, 4031952.4076000005 3110464.237400001, 4053685.3247999996 3126266.0513000004, 4046900.025699999 3133097.6772000007, 4058181.026799999 3146140.6393999998, 4041680.6645 3189693.8340000007, 4057369.1633 3205892.865700001, 4073465.7522 3196970.059800001, 4092852.0757999998 3207673.7051, 4099187.351500001 3228125.133300001, 4120624.0736 3240894.579399999, 4122915.3214 3240990.451300001, 4137969.0372 3244557.344900001, 4158496.5954 3265415.138699999, 4175414.502699999 3246352.7716000006, 4176049.9254 3221372.3960999995, 4190451.3589999992 3218063.4341, 4212132.138699999 3223996.0774000008, 4216298.169 3240879.888699999, 4205259.567600001 3262148.9739999995, 4232925.6339 3266469.257200001, 4261477.954700001 3256200.4047, 4251653.709899999 3232135.4992999993, 4263136.4603 3221220.6196999997))",32154.5,33021.4,31386.8,30898.899999999998,33471.799999999996,27827.5,30524.6,31157.6,35300.7,35202.8,44143.85,47998.7,48022.83,48417.729999999996,51492.85,37183.85,34651.76,37738.46,32448.02,35635.3,35935.89,37933.770000000004,35247.76,1004.0,48.0
DEB,"POLYGON ((4176810.116800001 3034687.0622000005, 4187131.1447 3020058.2782000005, 4161636.7204 2997328.3943000007, 4171106.0220999997 2987851.4814999998, 4190259.1007000003 2992945.9571, 4191329.383300001 2993035.2079000007, 4198260.7392 2988400.6974, 4202052.8475 2982236.3563, 4205818.420700001 2966931.2860000003, 4209167.978599999 2959144.514799999, 4209058.5528 2958914.4233999997, 4208936.184800001 2958700.2425999995, 4206384.4662999995 2943712.678099999, 4206911.1763 2942403.6646, 4206908.4438000005 2941381.1796000004, 4206858.979800001 2937781.563100001, 4210213.2182 2926776.3453, 4211940.493899999 2923163.1141999997, 4209211.3783 2912146.7809999995, 4210938.595899999 2909690.4781, 4209447.0976 2908937.1611, 4205446.5603 2905334.1197999995, 4199706.8018 2886591.1183, 4194902.055500001 2876668.8454, 4193703.1273 2875693.6634, 4191568.4299 2874149.0747999996, 4179638.1773000006 2878090.5392000005, 4168238.4449000005 2883501.2454000004, 4148169.9397 2885085.8198000006, 4129088.6479 2897694.362400001, 4125670.738500001 2900937.8211000003, 4125617.5218 2907240.1494999994, 4131564.0308 2914841.1143999994, 4132313.287900001 2920530.2566, 4131881.620100001 2921027.0637, 4124529.294399999 2925318.3159, 4121722.1779999994 2928009.0362, 4123939.3675999995 2940964.590399999, 4106360.834899999 2951753.6241999995, 4096387.0096000005 2949270.6457, 4059130.7711999994 2944039.3893999998, 4067410.837099999 2973721.5833, 4044953.8672 3009232.5731000006, 4065087.3355 3029745.6953, 4066527.1193000004 3029642.1941, 4093417.544500001 3032716.157400001, 4103368.4568000007 3054207.5143999998, 4123782.9295000006 3060603.5248000007, 4140271.5187 3069801.261499999, 4156201.991800001 3081392.8111000005, 4165398.3935000002 3094413.0482, 4169961.1691999994 3092709.6643000003, 4182511.1171000004 3066931.9251000006, 4188558.5787000004 3065486.9448000006, 4190141.560900001 3055827.5045, 4176810.116800001 3034687.0622000005))",10622.699999999999,9709.9,10172.1,9182.7,10871.8,10135.4,10216.5,10097.8,11166.9,11354.9,14979.59,14262.800000000001,15213.14,15668.36,16420.21,11455.78,11326.08,12087.37,11369.66,11783.3,10930.86,11964.14,10935.07,1004.0,48.0
DEC,"POLYGON ((4129088.6479 2897694.362400001, 4121360.4156 2894898.5023, 4109552.371200001 2897821.1248000003, 4082335.1054 2905956.7978000008, 4071243.3954000007 2928770.9639, 4057753.9418 2935021.0808000006, 4059130.7711999994 2944039.3893999998, 4096387.0096000005 2949270.6457, 4106360.834899999 2951753.6241999995, 4123939.3675999995 2940964.590399999, 4121722.1779999994 2928009.0362, 4124529.294399999 2925318.3159, 4131881.620100001 2921027.0637, 4132313.287900001 2920530.2566, 4131564.0308 2914841.1143999994, 4125617.5218 2907240.1494999994, 4125670.738500001 2900937.8211000003, 4129088.6479 2897694.362400001))",1852.8,1784.0,1843.3,1733.1,1879.4,2437.1,1772.2,1773.9,1867.2,1908.1,2084.05,2008.2,2157.71,2177.93,2199.06,1873.77,1824.9,1874.56,1748.51,1755.78,1662.44,1644.24,1624.41,1004.0,48.0
DED,"POLYGON ((4544296.3726 3148677.8440000005, 4577902.957699999 3146844.5265999995, 4587902.7784 3147669.7345000003, 4609662.673699999 3167168.9530999996, 4629350.4406 3168446.2354000006, 4648590.561000001 3174085.7885, 4667129.407400001 3151023.3308000006, 4660255.7794 3095529.1428999994, 4645979.160499999 3093185.0231999997, 4635755.0407 3113254.6547, 4623550.103499999 3113763.4321, 4613160.545 3090520.4581000004, 4578743.5452 3075177.8411, 4568654.602399999 3063911.0807000007, 4530540.3905 3036694.340399999, 4504645.4372000005 3036024.5754000004, 4470617.443499999 3025026.0146999992, 4457382.0583999995 3036536.161800001, 4454607.3774 3058977.0988, 4468706.778000001 3053983.9733000007, 4484887.0134 3065354.6834999993, 4479595.025699999 3080970.499399999, 4507487.627900001 3093633.5681999996, 4504766.5649999995 3099894.009299999, 4480955.006200001 3111466.7685000002, 4472463.4035 3131642.7738000005, 4473852.6492 3138030.1097999997, 4473564.054400001 3160150.9649, 4499636.73 3171552.625499999, 4532107.862500001 3175212.723200001, 4544296.3726 3148677.8440000005))",15695.4,16777.5,15299.0,13140.4,16880.1,13329.7,15002.4,16555.7,17345.3,17719.6,22286.05,22517.1,24074.68,22436.9,27757.81,19303.99,19988.47,19531.44,15924.26,18067.079999999998,18413.61,19815.510000000002,17466.03,1004.0,48.0
DEE,"POLYGON ((4480955.006200001 3111466.7685000002, 4477298.6808 3094770.4496, 4472987.5779 3096384.671, 4462947.085999999 3097268.5284, 4451204.464500001 3106378.3058, 4439886.3727 3109855.222100001, 4424972.8518 3111527.7709999997, 4417729.1798 3127014.0998, 4423804.021400001 3132604.6384999994, 4420561.8938 3137520.1327, 4389027.0594999995 3146689.5657, 4384447.4417 3167714.4239000008, 4369550.9746 3170421.583799999, 4359540.0276 3210600.778000001, 4375984.5593 3215642.853, 4387148.2928 3216740.2146000005, 4384504.692500001 3262904.8532, 4389510.3927 3265748.5569, 4372219.352700001 3298822.0715999994, 4377693.4977 3305156.0545000006, 4422177.787900001 3315760.3845000006, 4428178.2282 3326451.125, 4445937.5496 3312754.6325000003, 4464133.2762 3311150.4800000004, 4472708.3358 3300460.1272, 4468427.135500001 3268540.7090000007, 4478495.880899999 3263035.0746, 4476969.282299999 3224010.7676999997, 4483990.0326000005 3217677.5808000006, 4511257.8675999995 3211308.9679000005, 4537996.311899999 3199068.1853, 4532107.862500001 3175212.723200001, 4499636.73 3171552.625499999, 4473564.054400001 3160150.9649, 4473852.6492 3138030.1097999997, 4472463.4035 3131642.7738000005, 4480955.006200001 3111466.7685000002))",22533.8,23820.2,21533.899999999998,19862.9,24967.5,20725.9,21647.1,23226.5,25849.0,26017.8,35224.52,35320.0,37947.98,36098.28,42498.25,27146.21,27500.93,29423.99,21730.19,24003.29,26290.25,28914.469999999998,23894.05,1004.0,48.0
DEF,"MULTIPOLYGON (((4264045.7861 3530123.4396, 4274283.7929 3523118.9946999997, 4283856.6886 3525296.4646000005, 4286822.7674 3523626.4880999997, 4288333.1447 3524216.9692, 4306700.0561999995 3513563.8450000007, 4307694.2598 3495169.0646, 4331938.636299999 3480738.1951, 4332328.8266 3471046.3947, 4367472.4155 3466735.8474000003, 4386496.9418 3468978.9275, 4376190.2784 3431980.1624999996, 4380328.672700001 3428122.1577000003, 4371265.0853 3411806.030099999, 4383955.1503 3393756.4636000004, 4360616.3913 3361935.1107, 4352221.028100001 3364312.532400001, 4341469.7293 3369525.0382000003, 4336708.861400001 3376535.1194, 4326001.2456 3400557.9850999992, 4317387.771299999 3393934.8505000006, 4303112.0996 3383356.2509000003, 4287046.539899999 3400145.1939000003, 4273209.700099999 3418043.1238, 4268364.658 3419505.3093, 4244479.204 3435836.931, 4245717.2721 3462796.1393, 4233488.610400001 3534838.2576, 4249689.6296999995 3532312.2336999997, 4264045.7861 3530123.4396)), ((4194192.7557999995 3462176.4882999994, 4188683.2228999995 3433561.2444, 4166955.4499999993 3464869.876, 4184291.8157 3472667.3577999994, 4194192.7557999995 3462176.4882999994)))",16993.2,17763.9,16135.9,16876.3,17754.7,14653.4,17169.5,17285.399999999998,19587.1,20183.2,24015.559999999998,24227.899999999998,27688.32,24904.1,28901.85,23457.96,20955.41,22488.07,19145.34,23996.399999999998,23631.69,23296.9,22596.2,1004.0,48.0
DEG,"POLYGON ((4472987.5779 3096384.671, 4477298.6808 3094770.4496, 4480955.006200001 3111466.7685000002, 4504766.5649999995 3099894.009299999, 4507487.627900001 3093633.5681999996, 4479595.025699999 3080970.499399999, 4484887.0134 3065354.6834999993, 4468706.778000001 3053983.9733000007, 4454607.3774 3058977.0988, 4457382.0583999995 3036536.161800001, 4434992.7326 3033109.2880000006, 4426266.5825 3036581.0529999994, 4410856.785800001 3041609.9941000007, 4405835.591399999 3018360.4021000005, 4388261.3780000005 3030928.3318000007, 4373034.312899999 3013350.507200001, 4364538.604800001 3013049.3050999995, 4353033.0975 3032305.0207, 4323932.0865 3044955.5941000003, 4326486.758400001 3058434.242799999, 4315791.7147 3072868.8969, 4322513.615499999 3097958.4123, 4335696.8663 3114792.5781999994, 4335467.350400001 3119972.4294000007, 4316010.240800001 3140497.266899999, 4354869.3541 3162801.6997999996, 4367887.4537 3169981.7795, 4369550.9746 3170421.583799999, 4384447.4417 3167714.4239000008, 4389027.0594999995 3146689.5657, 4420561.8938 3137520.1327, 4423804.021400001 3132604.6384999994, 4417729.1798 3127014.0998, 4424972.8518 3111527.7709999997, 4439886.3727 3109855.222100001, 4451204.464500001 3106378.3058, 4462947.085999999 3097268.5284, 4472987.5779 3096384.671))",14698.300000000001,15304.9,13647.8,13065.800000000001,15531.6,13200.3,14092.4,14569.7,15112.1,15934.2,18891.47,19307.5,20747.59,20489.56,23485.79,16123.539999999999,17621.4,17618.07,14428.6,16092.86,16352.85,17413.26,15281.61,1004.0,48.0
